prompt,answer
Which of the following organizations advocated carrying guns for self-defense?,Black Panther Party
Samuel Adams and Patrick Henry objected to the proposed Constitution in 1787 because they felt that the Constitution would,undermine the principles for which the Revolutionary War was fought.
"I. ""The Kansas-Nebraska Act authorizes the further extension of slavery and we have, do now, and will continue to protest most emphatically against … slavery."" (1854) II.   ""The territories were the common property of the several states. As a joint agent of the states, Congress has no power to deny the citizens of any state the right to take their property into a territory… Therefore slavery is legal in the territories. If Wilmot carries, woe, woe I say to the union."" (1850) III.  ""We beg the slave owners to pause before they proceed further to disturb the peace we had hoped the Compromise of 1850 would have made perpetual."" (1854) Which of the above statement(s) would John C. Calhoun have supported?",II
Which of the following provisions would NOT be found in the various Black Codes passed after the Civil War?,A requirement that African Americans serve in the state National Guard units for two years
The federal government helped with the building of the transcontinental railroad by,providing the railroad companies with land grants.
"The Treaty of Paris, which concluded the Spanish-American War in 1898, contained all of the following provisions EXCEPT that",Spain cede the Hawaiian Islands to the United States.
Which of the following was a reason the Democratic Party failed to win the presidency in the 1920s?,Internal splits existed between urban moderates and rural conservatives.
"Herbert Hoover's idea of ""rugged individualism"" suggested that",people were able to survive hard times through their inner strength and resources.
The U.S. government allocated massive sums of money to math and science the 1950s in response to which of the following?,The Soviet satellite Sputnik successfully orbiting the earth
Which chief justice of the Supreme Court was said to be the leader of a very activist court?,Earl Warren
The New Right of the 1990s could best be described as,an ultraconservative group within the Republican Party that gained control of Congress in 1994.
The British settled in North America in the 17th century for all of the following reasons EXCEPT,educated Englishmen wanted to create a democracy that would serve as an example for other nations.
The period from 1781 to 1787 is often called the Critical Period because,the Articles of Confederation had created a weak government that threatened the continued existence of the United States.
